Unnamed: 0,Rule,K,Enzyme,EC Numbers,EC_Number_firstdigit,reac_id,reac_name,meta_name,reac_meta_value,meta_name_long,Gibbs,smiles
1229,b0674,K01953,asparagine synthase (glutamine-hydrolysing) ,6.3.5.4,6,ASNS1,Asparagine synthase (glutamine-hydrolysing),asn__L_c,1,L-Asparagine,-43.53103,NC(=O)C[C@H]([NH3+])C([O-])=O
1230,b0674,K01953,asparagine synthase (glutamine-hydrolysing) ,6.3.5.4,6,ASNS1,Asparagine synthase (glutamine-hydrolysing),asp__L_c,-1,L-Aspartate,-105.78535,[NH3+][C@@H](CC([O-])=O)C([O-])=O
1232,b0674,K01953,asparagine synthase (glutamine-hydrolysing) ,6.3.5.4,6,ASNS1,Asparagine synthase (glutamine-hydrolysing),gln__L_c,-1,L-Glutamine,-23.488802,NC(=O)CC[C@H]([NH3+])C([O-])=O
1233,b0674,K01953,asparagine synthase (glutamine-hydrolysing) ,6.3.5.4,6,ASNS1,Asparagine synthase (glutamine-hydrolysing),glu__L_c,1,L-Glutamate,-82.27311,[NH3+][C@@H](CCC([O-])=O)C([O-])=O
1238,b0677,K01443,N-acetylglucosamine-6-phosphate deacetylase ,3.5.1.25,3,AGDC,N-acetylglucosamine-6-phosphate deacetylase,ac_c,1,Acetate,-57.768696,CC([O-])=O
1239,b0677,K01443,N-acetylglucosamine-6-phosphate deacetylase ,3.5.1.25,3,AGDC,N-acetylglucosamine-6-phosphate deacetylase,acgam6p_c,-1,N-Acetyl-D-glucosamine 6-phosphate,-282.58258,CC(=O)N[C@H]1C(O)O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@@H]1O
1240,b0677,K01443,N-acetylglucosamine-6-phosphate deacetylase ,3.5.1.25,3,AGDC,N-acetylglucosamine-6-phosphate deacetylase,gam6p_c,1,D-Glucosamine 6-phosphate,-262.3175,[NH3+][C@H]1C(O)O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@@H]1O
1242,b0678,K02564,glucosamine-6-phosphate deaminase ,3.5.99.6,3,G6PDA,Glucosamine-6-phosphate deaminase,f6p_c,1,D-Fructose 6-phosphate,-317.66592,OC[C@@]1(O)O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@@H]1O
1243,b0678,K02564,glucosamine-6-phosphate deaminase ,3.5.99.6,3,G6PDA,Glucosamine-6-phosphate deaminase,gam6p_c,-1,D-Glucosamine 6-phosphate,-262.3175,[NH3+][C@H]1C(O)O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@@H]1O
1245,b0678,K02564,glucosamine-6-phosphate deaminase ,3.5.99.6,3,G6PDA,Glucosamine-6-phosphate deaminase,nh4_c,1,Ammonium,11.853362,[H][N+]([H])([H])[H]
1250,b0692,K03756,putrescine:ornithine antiporter ,,,PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm),orn_c,-1,Ornithine,47.5525,[NH3+]CCC[C@H]([NH3+])C([O-])=O
1251,b0692,K03756,putrescine:ornithine antiporter ,,,PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm),orn_p,1,Ornithine,47.5525,[NH3+]CCC[C@H]([NH3+])C([O-])=O
1252,b0692,K03756,putrescine:ornithine antiporter ,,,PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm),ptrc_c,1,putrescine,136.52745,C([NH3+])CCC[NH3+]
1253,b0692,K03756,putrescine:ornithine antiporter ,,,PTRCORNt7pp,Putrescine/ornithine antiporter (periplasm),ptrc_p,-1,putrescine,136.52745,C([NH3+])CCC[NH3+]
1259,b0720,K01647,citrate synthase ,2.3.3.1,2,CS,Citrate synthase,accoa_c,-1,Acetyl-CoA,-506.8639,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
1260,b0720,K01647,citrate synthase ,2.3.3.1,2,CS,Citrate synthase,cit_c,1,Citrate,-230.69292,OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
1264,b0720,K01647,citrate synthase ,2.3.3.1,2,CS,Citrate synthase,oaa_c,-1,Oxaloacetate,-170.30602,[O-]C(=O)CC(=O)C([O-])=O
1274,b0732,K15524,mannosylglycerate hydrolase ,3.2.1.170,3,MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,glyc__R_c,1,(R)-Glycerate,-106.25645,OC[C@@H](O)C([O-])=O
1276,b0732,K15524,mannosylglycerate hydrolase ,3.2.1.170,3,MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,man6p_c,1,D-Mannose 6-phosphate,-316.72592,OC1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@@H]1O
1277,b0732,K15524,mannosylglycerate hydrolase ,3.2.1.170,3,MANPGH,2-O-alpha-mannosyl-6-phosphate-D-glycerate hydrolase,man6pglyc_c,-1,2(alpha-D-Mannosyl-6-phosphate)-D-glycerate,-389.39285,OC[C@@H](O[C@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@@H]1O)C([O-])=O
1280,b0750,K03517,quinolinate synthase ,2.5.1.72,2,QULNS,Quinolinate synthase,dhap_c,-1,Dihydroxyacetone phosphate,-267.48264,OCC(=O)COP([O-])([O-])=O
1282,b0750,K03517,quinolinate synthase ,2.5.1.72,2,QULNS,Quinolinate synthase,iasp_c,-1,Iminoaspartate,-144.0349,[O-]C(=O)CC(=[NH2+])C([O-])=O
1284,b0750,K03517,quinolinate synthase ,2.5.1.72,2,QULNS,Quinolinate synthase,quln_c,1,Quinolinate,-110.29488,C1(\N=C(C(/C([O-])=O)=C\C=1)\C([O-])=O)
1285,b0751,K03811,nicotinamide mononucleotide transporter ,,,NMNPtpp,NMN permease (periplasm),nmn_c,1,NMN C11H14N2O8P,-204.5264,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
1286,b0751,K03811,nicotinamide mononucleotide transporter ,,,NMNPtpp,NMN permease (periplasm),nmn_p,-1,NMN C11H14N2O8P,-204.5264,NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O
1290,b0756,K01785,aldose 1-epimerase ,5.1.3.3,5,GALM2pp,Aldose-1-epimerase,gal_bD_p,-1,Beta D-Galactose,-95.02656,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
1291,b0756,K01785,aldose 1-epimerase ,5.1.3.3,5,GALM2pp,Aldose-1-epimerase,gal_p,1,D-Galactose,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
1294,b0757,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal1p_c,1,Alpha-D-Galactose 1-phosphate,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
1295,b0757,K00849,galactokinase ,2.7.1.6,2,GALKr,Galactokinase,gal_c,-1,D-Galactose,-95.02656,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
1297,b0758,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,g1p_c,1,D-Glucose 1-phosphate,-319.04593,OC[C@H]1OC(OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@@H]1O
1298,b0758,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,gal1p_c,-1,Alpha-D-Galactose 1-phosphate,-319.04593,OC[C@H]1O[C@H](OP([O-])([O-])=O)[C@H](O)[C@@H](O)[C@H]1O
1299,b0758,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,udpg_c,-1,UDPglucose,-566.8436,C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
1300,b0758,K00965,UDPglucose--hexose-1-phosphate uridylyltransferase ,2.7.7.12,2,UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,udpgal_c,1,UDPgalactose,-566.8436,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
1301,b0759,K01784,UDP-glucose 4-epimerase ,5.1.3.2,5,UDPG4E,UDPglucose 4-epimerase,udpg_c,-1,UDPglucose,-566.8436,C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
1302,b0759,K01784,UDP-glucose 4-epimerase ,5.1.3.2,5,UDPG4E,UDPglucose 4-epimerase,udpgal_c,1,UDPgalactose,-566.8436,C(O)[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
1307,b0766,,,,,PDXPP,Pyridoxine 5-phosphate phosphatase,pdx5p_c,-1,Pyridoxine 5'-phosphate,-200.99702,Cc1ncc(COP([O-])([O-])=O)c(CO)c1O
1309,b0766,,,,,PDXPP,Pyridoxine 5-phosphate phosphatase,pydxn_c,1,Pyridoxine,23.02232,Cc1ncc(CO)c(CO)c1O
1310,b0767,K07404,6-phosphogluconolactonase ,3.1.1.31,3,PGL,6-phosphogluconolactonase,6pgc_c,1,6-Phospho-D-gluconate,-381.25735,O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O
1311,b0767,K07404,6-phosphogluconolactonase ,3.1.1.31,3,PGL,6-phosphogluconolactonase,6pgl_c,-1,"6-phospho-D-glucono-1,5-lactone",-337.32812,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
1314,b0774,K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase ,2.6.1.62,2,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,8aonn_c,-1,8-Amino-7-oxononoate,66.38905,CC([NH3+])C(=O)CCCCCC([O-])=O
1315,b0774,K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase ,2.6.1.62,2,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,amet_c,-1,S-Adenosyl-L-methionine,124.03472,C[S+](CC[C@H]([NH3+])C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
1316,b0774,K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase ,2.6.1.62,2,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,amob_c,1,S-Adenosyl-4-methylthio-2-oxobutanoate,58.492287,C[S+](CCC(=O)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
1317,b0774,K00833,adenosylmethionine---8-amino-7-oxononanoate aminotransferase ,2.6.1.62,2,AMAOTr,Adenosylmethionine-8-amino-7-oxononanoate transaminase,dann_c,1,"7,8-Diaminononoate",134.39148,C[C@H]([NH3+])[C@H]([NH3+])CCCCCC(=O)[O-]
1318,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,2fe1s_c,1,[2Fe-1S] desulfurated iron-sulfur cluster,NA,NA
1319,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,2fe2s_c,-1,[2Fe-2S] iron-sulfur cluster,NA,NA
1320,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,amet_c,-1,S-Adenosyl-L-methionine,124.03472,C[S+](CC[C@H]([NH3+])C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
1321,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,btn_c,1,Biotin,44.73474,[H][C@]12CS[C@@H](CCCCC([O-])=O)[C@@]1([H])NC(=O)N2
1322,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,dad_5_c,1,5'-Deoxyadenosine,79.14557,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
1323,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,dtbt_c,-1,Dethiobiotin,58.986996,CC1NC(=O)NC1CCCCCC([O-])=O
1325,b0775,K01012,biotin synthase ,2.8.1.6,2,BTS5,Biotin synthase,met__L_c,1,L-Methionine,37.072315,CSCC[C@H]([NH3+])C([O-])=O
1326,b0776,K00652,8-amino-7-oxononanoate synthase ,2.3.1.47,2,AOXSr2,8-amino-7-oxononanoate synthase,8aonn_c,1,8-Amino-7-oxononoate,66.38905,CC([NH3+])C(=O)CCCCCC([O-])=O
1328,b0776,K00652,8-amino-7-oxononanoate synthase ,2.3.1.47,2,AOXSr2,8-amino-7-oxononanoate synthase,ala__L_c,-1,L-Alanine,-16.772158,C[C@H]([NH3+])C([O-])=O
1330,b0776,K00652,8-amino-7-oxononanoate synthase ,2.3.1.47,2,AOXSr2,8-amino-7-oxononanoate synthase,pimACP_c,-1,Pimeloyl-[acyl-carrier protein],NA,NA
1331,b0777,K02169,malonyl-CoA O-methyltransferase ,2.1.1.197,2,MALCOAMT,Malonyl-CoA methyltransferase,ahcys_c,1,S-Adenosyl-L-homocysteine,84.0534,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CSCC[C@H]([NH3+])C([O-])=O)[C@@H](O)[C@H]1O
1332,b0777,K02169,malonyl-CoA O-methyltransferase ,2.1.1.197,2,MALCOAMT,Malonyl-CoA methyltransferase,amet_c,-1,S-Adenosyl-L-methionine,124.03472,C[S+](CC[C@H]([NH3+])C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
1333,b0777,K02169,malonyl-CoA O-methyltransferase ,2.1.1.197,2,MALCOAMT,Malonyl-CoA methyltransferase,malcoa_c,-1,Malonyl CoA C24H33N7O19P3S,-597.77356,CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC([O-])=O
1334,b0777,K02169,malonyl-CoA O-methyltransferase ,2.1.1.197,2,MALCOAMT,Malonyl-CoA methyltransferase,malcoame_c,1,Malonyl-CoA methyl ester,-560.0016,COC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)n1cnc2c(N)ncnc12
1338,b0778,K01935,dethiobiotin synthetase ,6.3.3.3,6,DBTS,Dethiobiotin synthase,dann_c,-1,"7,8-Diaminononoate",134.39148,C[C@H]([NH3+])[C@H]([NH3+])CCCCCC(=O)[O-]
1339,b0778,K01935,dethiobiotin synthetase ,6.3.3.3,6,DBTS,Dethiobiotin synthase,dtbt_c,1,Dethiobiotin,58.986996,CC1NC(=O)NC1CCCCCC([O-])=O
1358,b0826,K21029,molybdopterin-synthase adenylyltransferase ,2.7.7.80,2,MPTSS,Molybdopterin synthase sulfurylase,moadamp_c,1,MoaD Protein with bound AMP,NA,NA
1359,b0826,K21029,molybdopterin-synthase adenylyltransferase ,2.7.7.80,2,MPTSS,Molybdopterin synthase sulfurylase,moadcoo_c,-1,MoaD Protein with carboxylate,NA,NA
1362,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BMOCOS,Bis-molybdenum cofactor synthase,bmoco_c,1,Bis-molybdenum cofactor,-325.8905,NA
1363,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BMOCOS,Bis-molybdenum cofactor synthase,cu2_c,1,Copper,-1.2482376,[Cu++]
1364,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BMOCOS,Bis-molybdenum cofactor synthase,moco_c,-1,Molybdenum cofactor,NA,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C1=C(S[Mo]([O-])(=O)(S-*)S1)[C@@H](COP([O-])([O-])=O)O2
1365,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BMOCOS,Bis-molybdenum cofactor synthase,mptamp_c,-1,Adenylated molybdopterin,-293.3218,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)O2
1367,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BWCOS,Tungsten bispterin cofactor synthase,bwco_c,1,Tungsten bispterin cofactor,NA,NA
1368,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BWCOS,Tungsten bispterin cofactor synthase,cu2_c,1,Copper,-1.2482376,[Cu++]
1369,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BWCOS,Tungsten bispterin cofactor synthase,mptamp_c,-1,Adenylated molybdopterin,-293.3218,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)O2
1370,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,BWCOS,Tungsten bispterin cofactor synthase,wco_c,-1,Tungsten binding cofactor,NA,NA
1372,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,WCOS,Tungsten pterin cofactor synthase,cu2_c,1,Copper,-1.2482376,[Cu++]
1375,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,WCOS,Tungsten pterin cofactor synthase,mptamp_c,-1,Adenylated molybdopterin,-293.3218,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)O2
1376,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,WCOS,Tungsten pterin cofactor synthase,tungs_c,-1,Tungstate,-132.44824,[O-][W]([O-])(=O)=O
1377,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,WCOS,Tungsten pterin cofactor synthase,wco_c,1,Tungsten binding cofactor,NA,NA
1379,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,MOCOS,Molybdenum cofactor synthase,cu2_c,1,Copper,-1.2482376,[Cu++]
1382,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,MOCOS,Molybdenum cofactor synthase,mobd_c,-1,Molybdate,-132.44824,[O-][Mo]([O-])(=O)=O
1383,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,MOCOS,Molybdenum cofactor synthase,moco_c,1,Molybdenum cofactor,NA,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C1=C(S[Mo]([O-])(=O)(S-*)S1)[C@@H](COP([O-])([O-])=O)O2
1384,b0827,K03750,molybdopterin molybdotransferase ,2.10.1.1,2,MOCOS,Molybdenum cofactor synthase,mptamp_c,-1,Adenylated molybdopterin,-293.3218,[H][C@]12Nc3[nH]c(N)nc(=O)c3N[C@@]1([H])C(S)C(=S)[C@@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc3c(N)ncnc13)O2
1406,b0870,K01620,threonine aldolase ,4.1.2.48,4,4HTHRA,4-hydroxy-L-threonine aldolase,4hthr_c,-1,4-Hydroxy-L-threonine,-68.12991,[NH3+][C@@H]([C@H](O)CO)C([O-])=O
1407,b0870,K01620,threonine aldolase ,4.1.2.48,4,4HTHRA,4-hydroxy-L-threonine aldolase,gcald_c,1,Glycolaldehyde,-29.195517,[H]C(=O)CO
1408,b0870,K01620,threonine aldolase ,4.1.2.48,4,4HTHRA,4-hydroxy-L-threonine aldolase,gly_c,1,Glycine,-37.2444,[NH3+]CC([O-])=O
1409,b0871,K00156,pyruvate dehydrogenase (quinone) ,1.2.5.1,1,POX,Pyruvate oxidase,ac_c,1,Acetate,-57.768696,CC([O-])=O
1412,b0871,K00156,pyruvate dehydrogenase (quinone) ,1.2.5.1,1,POX,Pyruvate oxidase,pyr_c,-1,pyruvate,-82.398705,CC(=O)C(=O)[O-]
1427,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,akg_c,1,2-Oxoglutarate,-149.76376,[O-]C(=O)CCC(=O)C([O-])=O
1428,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,glu__L_c,-1,L-Glutamate,-82.27311,[NH3+][C@@H](CCC([O-])=O)C([O-])=O
1429,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,ohpb_c,-1,2-Oxo-3-hydroxy-4-phosphobutanoate,-359.56406,O[C@H](COP([O-])([O-])=O)C(=O)C([O-])=O
1430,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,phthr_c,1,"4-phosphooxy-L-threonine	",-292.1493,C(=O)([O-])[C@@H]([NH3+])[C@H](O)COP([O-])(=O)[O-]
1431,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,3php_c,-1,3-Phosphohydroxypyruvate,-343.68634,[O-]C(=O)C(=O)COP([O-])([O-])=O
1432,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,akg_c,1,2-Oxoglutarate,-149.76376,[O-]C(=O)CCC(=O)C([O-])=O
1433,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,glu__L_c,-1,L-Glutamate,-82.27311,[NH3+][C@@H](CCC([O-])=O)C([O-])=O
1434,b0907,K00831,phosphoserine aminotransferase ,2.6.1.52,2,PSERT,Phosphoserine transaminase,pser__L_c,1,O-Phospho-L-serine,-276.2715,[NH3+][C@@H](COP([O-])([O-])=O)C([O-])=O
1435,b0908,K00800,3-phosphoshikimate 1-carboxyvinyltransferase ,2.5.1.19,2,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,3psme_c,1,5-O-(1-Carboxyvinyl)-3-phosphoshikimate,-351.82288,O[C@H]1[C@@H](CC(=C[C@H]1OP([O-])([O-])=O)C([O-])=O)OC(=C)C([O-])=O
1436,b0908,K00800,3-phosphoshikimate 1-carboxyvinyltransferase ,2.5.1.19,2,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,pep_c,-1,"phosphoenolpyruvate	",-293.83633,C=C(OP(=O)([O-])[O-])C([O-])=O
1438,b0908,K00800,3-phosphoshikimate 1-carboxyvinyltransferase ,2.5.1.19,2,PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,skm5p_c,-1,Shikimate 5-phosphate,-316.12955,O[C@@H]1CC(=C[C@@H](OP([O-])([O-])=O)[C@H]1O)C([O-])=O
1441,b0910,K00945,CMP/dCMP kinase ,2.7.4.25,2,CYTK1,Cytidylate kinase (CMP),cdp_c,1,CDP C9H12N3O11P2,-455.70514,Nc1ccn([C@@H]2O[C@H](COP([O-])(=O)OP([O-])([O-])=O)[C@@H](O)[C@H]2O)c(=O)n1
1445,b0910,K00945,CMP/dCMP kinase ,2.7.4.25,2,CYTK2,Cytidylate kinase (dCMP),dcdp_c,1,DCDP C9H12N3O10P2,-415.8651,[H][C@]1(COP([O-])(=O)OP([O-])([O-])=O)O[C@]([H])(C[C@@H]1O)n1ccc(N)nc1=O
1446,b0910,K00945,CMP/dCMP kinase ,2.7.4.25,2,CYTK2,Cytidylate kinase (dCMP),dcmp_c,-1,DCMP C9H12N3O7P,-206.3048,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP([O-])([O-])=O)O2)c(=O)n1
1451,b0914,K11085,"ATP-binding cassette, subfamily B, bacterial MsbA ",7.5.2.6,7,LIPAabcpp,Lipid A transport via ABC system (periplasm),lipa_c,-1,KDO(2)-lipid (A),551.2255,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP([O-])([O-])=O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@@]2(C[C@@H](O[C@@]3(C[C@@H](O)[C@@H](O)[C@H](O3)[C@H](O)CO)C([O-])=O)[C@@H](O)[C@H](O2)[C@H](O)CO)C([O-])=O)[C@H]1OP([O-])([O-])=O
1452,b0914,K11085,"ATP-binding cassette, subfamily B, bacterial MsbA ",7.5.2.6,7,LIPAabcpp,Lipid A transport via ABC system (periplasm),lipa_p,1,KDO(2)-lipid (A),551.2255,CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@@H]1[C@@H](NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@H](OC[C@H]2O[C@H](OP([O-])([O-])=O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@@]2(C[C@@H](O[C@@]3(C[C@@H](O)[C@@H](O)[C@H](O3)[C@H](O)CO)C([O-])=O)[C@@H](O)[C@H](O2)[C@H](O)CO)C([O-])=O)[C@H]1OP([O-])([O-])=O
1458,b0914,K11085,"ATP-binding cassette, subfamily B, bacterial MsbA ",7.5.2.6,7,LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm),lipa_cold_c,-1,Cold adapted KDO(2)-lipid (A),641.6923,CCCCCCC=CCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)NC1C(OCC2OC(OP(=O)([O-])O)C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)C(O)C(C(O)CO)O2)C(OP(=O)([O-])O)C1OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
1459,b0914,K11085,"ATP-binding cassette, subfamily B, bacterial MsbA ",7.5.2.6,7,LIPACabcpp,Lipid (cold) A transport via ABC system (periplasm),lipa_cold_p,1,Cold adapted KDO(2)-lipid (A),641.6923,CCCCCCC=CCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)NC1C(OCC2OC(OP(=O)([O-])O)C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)C(O)C(C(O)CO)O2)C(OP(=O)([O-])O)C1OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
